name,organisation,country,url,url_api,description,location,has_issue,issue_type,code_en
Département De Moselle,Département De Moselle,France,http://moselleopendata.fr/,,,"49.122987, 6.175902",,,France - Département De Moselle
Département du Loir-et-cher,Conseil Départemental du Loir-et-cher,France,http://pilote41.fr,,,"47.590289, 1.333636",,,France - Département du Loir-et-cher
Département Maine-et-loire,Département Maine-et-loire,France,http://www.opendata49.fr/,,,"47.478419, -0.563166",,,France - Département Maine-et-loire
Département Manche,Département Manche,France,http://conseil.general.manche.fr/open-data.asp,,,"49.1154686, -1.0828136",,,France - Département Manche
Départementdu Var,Départementdu Var,France,http://data.cgvar.opendata.arcgis.com,,Arcgis OpenData Portal,"43.3899622317, 6.29259026652",,,France - Départementdu Var
Department D'estadistica,Andorra,Andorra,http://estadistica.ad,,,"42.5, 1.5",,,Andorra - Department D'estadistica
Department Loire-atlantique Open Data,Departement Loire-atlantique,France,http://data.loire-atlantique.fr/,,Launched April 2012. LOAD (Loire Atlantique Ouverture des Donnees).,"47.2172508194, -1.55336380005",,,France - Department Loire-atlantique Open Data
Department Of Basic Education,South Africa,South Africa,http://www.education.gov.za/,,,"-30.0, 25.0",,,South Africa - Department Of Basic Education
Department Of Census And Statistic,Sri Lanka,Sri Lanka,http://www.statistics.gov.lk/,,,"7.0, 81.0",,,Sri Lanka - Department Of Census And Statistic
Department Of Conservation - California Geological Survey,United States,United States,http://consrv.ca.gov/cgs,,,"38.55556, -121.46889",,,United States - Department Of Conservation - California Geological Survey
Department Of Economic And Social Affairs,United Nations,United States,http://esa.un.org/unpd/wpp/,,,"40.749, -73.968",,,United States - Department Of Economic And Social Affairs
Department Of Education,Philippines,Philippines,http://deped.gov.ph,,,"13.0, 122.0",,,Philippines - Department Of Education
Department Of Education And Sports,Nepal,Nepal,http://doe.gov.np,,,"26.5333, 86.7333",,,Nepal - Department Of Education And Sports
